"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","cardio_latent_agg","~","cov_age",0.22053157609589,0.0082738279245079,26.6541168257383,0,0.204315171349572,0.236747980842207,0
"2","cardio_latent_agg","~","cov_sex",0.261823370342591,0.00814611161430043,32.1409014189006,0,0.245857284964519,0.277789455720663,0
"3","cardio_latent_gvrf","~","cov_age",0.170734298538193,0.00747776239865117,22.8322711308653,0,0.156078153551889,0.185390443524497,0
"4","cardio_latent_gvrf","~","cov_sex",0.516658527699244,0.00611364125998334,84.5091338742783,0,0.504676011015278,0.528641044383209,0
"5","cog_latent_g","~","cov_age",-0.183700064690138,0.00876488099970752,-20.9586490331435,0,-0.200878915778344,-0.166521213601932,0
"6","cog_latent_g","~","cov_sex",0.0825314632544968,0.00894610813001083,9.22540417074043,0,0.0649974135178746,0.100065512991119,0
"7","cog_latent_pc1","~","cov_age",0.222507014846219,0.00859137415887043,25.8988854089755,0,0.205668230917124,0.239345798775313,0
"8","cog_latent_pc1","~","cov_sex",-0.0793201969276232,0.00888011892212499,-8.93233498596459,0,-0.0967249101934208,-0.0619154836618255,0
"9","heart_latent_pc1","~","cov_age",-0.0219486408611741,0.00712687623128864,-3.07970001847577,0.00207209183106127,-0.0359170615967744,-0.00798022012557385,0.00223148351037368
"10","heart_latent_pc1","~","cov_sex",0.630022643558511,0.00496713504027375,126.838235411411,0,0.620287237773227,0.639758049343794,0
"11","heart_latent_pc2","~","cov_age",-0.182207587827106,0.00801779528871993,-22.7253978513831,0,-0.197922177828412,-0.1664929978258,0
"12","heart_latent_pc2","~","cov_sex",0.418820165988566,0.00713566401222273,58.6939302735059,0,0.404834521518831,0.432805810458301,0
"13","heart_latent_pc3","~","cov_age",0.126314855279651,0.00896136575475912,14.0954915507794,0,0.108750901148033,0.14387880941127,0
"14","heart_latent_pc3","~","cov_sex",-0.0853204882114015,0.00902019422888638,-9.45883049149542,0,-0.102999744033575,-0.0676412323892281,0
"15","brain_latent_grey","~","cov_age",-0.362684971575258,0.00681601965858487,-53.2106698252332,0,-0.376044124624001,-0.349325818526515,0
"16","brain_latent_grey","~","cov_sex",0.471048211181158,0.00630077330941048,74.7603806786108,0,0.458698922419962,0.483397499942354,0
"17","brain_latent_atrophy","~","cov_age",-0.259860481828969,0.00698626470379591,-37.1959112410637,0,-0.273553309034872,-0.246167654623066,0
"18","brain_latent_atrophy","~","cov_sex",0.561402758133918,0.00560364818336882,100.185225724933,0,0.550419809512481,0.572385706755354,0
"19","brain_latent_gMD","~","cov_age",0.328720320143783,0.0079487459586783,41.3549913222338,0,0.313141064342515,0.34429957594505,0
"20","brain_latent_gMD","~","cov_sex",0.0300898127715266,0.00864361510398668,3.48116064974345,0.000499245956558481,0.0131486384714863,0.0470309870715669,0.000559155471345498
"21","brain_latent_gFA","~","cov_age",-0.249991569247419,0.00845673635329193,-29.5612348314614,0,-0.266566467926622,-0.233416670568216,0
"22","brain_latent_gFA","~","cov_sex",0.0587301568432358,0.00884916541332838,6.6368017886498,3.20561355238169e-11,0.0413861113398746,0.0760742023465969,3.73988247777864e-11
"23","brain_latent_pc1","~","cov_age",-0.362484512136231,0.00770395116484865,-47.0517666038907,0,-0.377583978957989,-0.347385045314472,0
"24","brain_latent_pc1","~","cov_sex",0.00659912443411991,0.00854716353559237,0.77208355808797,0.440064939684924,-0.0101530082656152,0.023351257133855,0.456363641154736
"25","brain_latent_pc2","~","cov_age",0.00524976780940707,0.00897958364018876,0.584633766972375,0.558793997741289,-0.012349892721528,0.0228494283403421,0.558793997741289
"26","brain_latent_pc2","~","cov_sex",-0.20276021419547,0.00870365969124594,-23.2959721988446,0,-0.219819073724005,-0.185701354666935,0
"27","brain_latent_pc3","~","cov_age",-0.16546493394936,0.00790773961377118,-20.9244287281799,0,-0.180963818791472,-0.149966049107248,0
"28","brain_latent_pc3","~","cov_sex",0.458166349916691,0.00679408320141528,67.4360817102226,0,0.444850191533949,0.471482508299434,0
