"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0396707060402998,0.00903788346488765,-4.38938012361205,1.13674219350823e-05,-0.0573846321279497,-0.0219567799526499
"2","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cov_age","",-0.358285015935072,0.00703765332147627,-50.9097279403805,0,-0.372078562980844,-0.3444914688893
"3","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cov_sex","",0.480831998592319,0.0078224039162382,61.4685720324643,0,0.465500368643967,0.496163628540671
"4","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0297176047052539,0.0106545896631103,-2.789183407799,0.00528411311892674,-0.0506002167150028,-0.00883499269550506
"5","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","b",0.182914944740281,0.0106471686277977,17.1796795124223,0,0.162046877692473,0.203783011788089
"6","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cov_age","",-0.111851638936302,0.00977894923228826,-11.4380018015626,0,-0.131018027238233,-0.0926852506343717
"7","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cov_sex","",0.0136830044708728,0.011660112353355,1.17348821831342,0.240600078768071,-0.00917039579739352,0.0365364047391391
"8","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","de",":=","c","de",-0.0297176047052539,0.0106545896631103,-2.789183407799,0.00528411311892674,-0.0506002167150028,-0.00883499269550506
"9","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","ie",":=","a*b","ie",-0.00725636500316938,0.00170661388216684,-4.25190787382802,2.11957055966661e-05,-0.0106012667477325,-0.00391146325860629
"10","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0369739697084233,0.0107709612272802,-3.43274559514497,0.000597502459998234,-0.0580846657927698,-0.0158632736240768
"11","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","pm",":=","100*(a*b)/(c+a*b)","pm",19.6256043383847,6.79929059476456,2.88641940873897,0.00389652524865225,6.29923965222427,32.9519690245452
"12","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cardio_latent_gvrf","a",0.0524934621389412,0.0094773467523736,5.53883523632753,3.04489935487595e-08,0.0339182038352913,0.0710687204425911
"13","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cov_age","",0.363985458785699,0.00734169563714744,49.5778464233805,0,0.349595999751435,0.378374917819962
"14","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cov_sex","",0.287001007958155,0.00892191960368919,32.1680782507254,0,0.269514366861962,0.304487649054348
"15","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0370718775361377,0.0107847103542425,-3.4374476753151,0.000587224164599665,-0.0582095214141492,-0.0159342336581261
"16","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","b",0.00186538399373967,0.0103913608640482,0.179512964485093,0.857534938489347,-0.0185013090501538,0.0222320770376331
"17","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cov_age","",-0.178066313826644,0.00973054999758361,-18.2997172688967,0,-0.197137841371674,-0.158994786281614
"18","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cov_sex","",0.101098980030402,0.0109295124549297,9.25009056417717,0,0.0796775292501578,0.122520430810646
"19","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","de",":=","c","de",-0.0370718775361377,0.0107847103542425,-3.4374476753151,0.000587224164599665,-0.0582095214141492,-0.0159342336581261
"20","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","ie",":=","a*b","ie",9.79204640499601e-05,0.000545765327206593,0.179418624028663,0.857609008799352,-0.00097175992128568,0.0011676008493856
"21","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","te",":=","c+a*b","te",-0.0369739570720877,0.0107709612138891,-3.43274442622725,0.000597505035831336,-0.0580846531301881,-0.0158632610139873
"22","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","pm",":=","100*(a*b)/(c+a*b)","pm",-0.264836311296207,1.47810498185976,-0.179172869685473,0.857801965843428,-3.16186884111057,2.63219621851815
"23","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0643809091247117,0.00896250570005016,-7.1833604662981,6.80122624885371e-13,-0.081947097508045,-0.0468147207413785
"24","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cov_age","",-0.351692939646436,0.00701458505516417,-50.1373833064463,0,-0.36544127372105,-0.337944605571821
"25","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cov_sex","",0.504311152019351,0.00765884072854072,65.8469303507033,0,0.489300100028082,0.519322204010619
"26","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0244867551793799,0.0106564905872476,-2.29782544064579,0.0215717261956523,-0.0453730929319752,-0.00360041742678454
"27","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_grey_matter.0.imaging","b",0.193958609922035,0.0106955375152002,18.1345359825428,0,0.172995741596945,0.214921478247124
"28","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cov_age","",-0.109173448518115,0.00975257498850695,-11.1943203355803,0,-0.128288144252115,-0.0900587527841154
"29","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cov_sex","",0.00381888315025899,0.0117782365534287,0.324232166074751,0.74576227132123,-0.0192660362958544,0.0269038025963724
"30","brain_bio.volume_of_grey_matter.0.imaging","de",":=","c","de",-0.0244867551793799,0.0106564905872476,-2.29782544064579,0.0215717261956523,-0.0453730929319752,-0.00360041742678454
"31","brain_bio.volume_of_grey_matter.0.imaging","ie",":=","a*b","ie",-0.0124872316393459,0.00187094861682543,-6.67427823888284,2.48452369788765e-11,-0.0161542235452488,-0.00882023973344306
"32","brain_bio.volume_of_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0369739868187258,0.0107709612149803,-3.43274718762352,0.000597498950820619,-0.058084682878965,-0.0158632907584866
"33","brain_bio.volume_of_grey_matter.0.imaging","pm",":=","100*(a*b)/(c+a*b)","pm",33.7730191244122,10.377566641673,3.2544256558942,0.0011362189496309,13.433362259569,54.1126759892555
"34","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cardio_latent_gvrf","a",0.0100949064798711,0.0088196856541298,1.14458801319571,0.252379860052604,-0.00719135975718787,0.0273811727169301
"35","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cov_age","",-0.145453803682357,0.00740569621755021,-19.6408007308829,0,-0.1599687015492,-0.130938905815514
"36","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cov_sex","",0.584251266720862,0.0071105926137491,82.1663254327282,0,0.570314761289177,0.598187772152546
"37","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.038757328064001,0.0106577295081657,-3.6365464177249,0.000276317869103426,-0.0596460940569755,-0.0178685620710264
"38","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_white_matter.0.imaging","b",0.176659879336574,0.0109473946027964,16.1371619226595,0,0.155203380190545,0.198116378482603
"39","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","cov_age","",-0.151691479178367,0.00907309852444496,-16.718817586922,0,-0.169474425514463,-0.133908532842271
"40","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","cov_sex","",-0.00157939900945904,0.0122970584772576,-0.128437139042642,0.89780304182503,-0.025681190740667,0.0225223927217489
"41","brain_bio.volume_of_white_matter.0.imaging","de",":=","c","de",-0.038757328064001,0.0106577295081657,-3.6365464177249,0.000276317869103426,-0.0596460940569755,-0.0178685620710264
"42","brain_bio.volume_of_white_matter.0.imaging","ie",":=","a*b","ie",0.00178336496064803,0.0015621075317308,1.14164033168196,0.253603552258366,-0.00127830954152309,0.00484503946281915
"43","brain_bio.volume_of_white_matter.0.imaging","te",":=","c+a*b","te",-0.0369739631033529,0.0107709612264026,-3.43274498219522,0.000597503810696232,-0.0580846591859795,-0.0158632670207264
"44","brain_bio.volume_of_white_matter.0.imaging","pm",":=","100*(a*b)/(c+a*b)","pm",-4.82329945443774,4.64122292999842,-1.03923029063363,0.298697646155432,-13.9199292414561,4.27333033258063
"45","brain_bio.volume_of_brain._grey.white_matter.0.imaging","brain_bio.volume_of_brain._grey.white_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0263341442123008,0.00877088907395123,-3.00244866743451,0.00267817136393922,-0.0435247709096411,-0.0091435175149605
"46","brain_bio.volume_of_brain._grey.white_matter.0.imaging","brain_bio.volume_of_brain._grey.white_matter.0.imaging","~","cov_age","",-0.255364340457941,0.00715391898590127,-35.6957271896992,0,-0.269385764018625,-0.241342916897257
"47","brain_bio.volume_of_brain._grey.white_matter.0.imaging","brain_bio.volume_of_brain._grey.white_matter.0.imaging","~","cov_sex","",0.575008522827176,0.00713045853217589,80.6411705828559,0,0.561033080910855,0.588983964743497
"48","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0317056083797671,0.0106332197132125,-2.9817505172371,0.0028660545139525,-0.0525463360573649,-0.0108648807021693
"49","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_brain._grey.white_matter.0.imaging","b",0.200058111005799,0.0109412101464051,18.2848248346214,0,0.178613733171561,0.221502488840037
"50","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","cov_age","",-0.126299589163469,0.00938663875761373,-13.4552519197593,0,-0.14469706306428,-0.107902115262659
"51","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","cov_sex","",-0.013400749035901,0.0122250701377819,-1.09616950126819,0.273004603850365,-0.0373614462144297,0.0105599481426277
"52","brain_bio.volume_of_brain._grey.white_matter.0.imaging","de",":=","c","de",-0.0317056083797671,0.0106332197132125,-2.9817505172371,0.0028660545139525,-0.0525463360573649,-0.0108648807021693
"53","brain_bio.volume_of_brain._grey.white_matter.0.imaging","ie",":=","a*b","ie",-0.00526835914606719,0.00177824205404708,-2.96267830022184,0.00304975122347373,-0.00875364952779399,-0.0017830687643404
"54","brain_bio.volume_of_brain._grey.white_matter.0.imaging","te",":=","c+a*b","te",-0.0369739675258343,0.0107709612778091,-3.43274537640481,0.000597502942014438,-0.0580846637092155,-0.015863271342453
"55","brain_bio.volume_of_brain._grey.white_matter.0.imaging","pm",":=","100*(a*b)/(c+a*b)","pm",14.2488337027562,5.83023105541292,2.44395694910362,0.014527159923972,2.82179081259988,25.6758765929124
"56","brain_bio.volume_of_thalamus_.left..0.imaging","brain_bio.volume_of_thalamus_.left..0.imaging","~","cardio_latent_gvrf","a",-0.0774076245192474,0.00933215879592755,-8.29471789025141,0,-0.095698319657274,-0.0591169293812207
"57","brain_bio.volume_of_thalamus_.left..0.imaging","brain_bio.volume_of_thalamus_.left..0.imaging","~","cov_age","",-0.311385473208019,0.00744552970590193,-41.8218025456522,0,-0.32597844327741,-0.296792503138628
